Gender_Male,Customer Type_disloyal Customer,Type of Travel_Personal Travel,Class_Business,Class_Eco,Class_Eco Plus,satisfaction_satisfied,Age,Flight Distance,Inflight entertainment,Baggage handling,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes
0.0,0.0,0.0,1.0,0.0,0.0,1.0,50,733,5,5,3,12,29.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,49,3913,4,4,1,3,5.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,25,1818,4,5,4,5,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,45,707,4,4,4,0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,58,425,5,5,4,0,2.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,67,469,3,3,1,0,0.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,69,239,2,2,5,0,0.0
1.0,0.0,1.0,0.0,1.0,0.0,1.0,51,599,3,4,3,0,0.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,34,762,3,5,3,47,31.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,17,305,4,3,4,0,0.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,25,594,4,4,4,0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,64,1857,1,2,3,38,41.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,50,3447,4,4,4,8,0.0
0.0,0.0,1.0,0.0,1.0,0.0,1.0,28,325,4,4,4,1,0.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,69,2486,3,3,4,4,16.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,34,594,5,5,4,3,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,49,1747,3,3,5,23,23.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,66,3685,5,5,4,0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,38,2740,5,5,5,0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,40,991,5,5,3,2,0.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,59,632,4,4,3,1,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,34,273,4,4,3,36,58.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,44,550,4,4,4,3,3.0
1.0,0.0,1.0,0.0,0.0,1.0,0.0,44,649,1,3,1,63,51.0
1.0,0.0,0.0,0.0,0.0,1.0,1.0,56,260,5,4,5,0,5.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,39,2296,5,5,5,0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,44,1780,5,5,3,0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,33,2686,5,5,4,24,68.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,41,669,4,4,1,40,49.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,68,725,4,1,3,41,78.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,67,222,5,5,4,20,1.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,45,3028,5,5,3,0,0.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,33,912,2,4,2,2,5.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,40,2177,5,5,3,24,20.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,49,409,3,4,3,0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,32,772,5,4,5,8,1.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,38,214,3,3,1,0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,39,3282,2,2,4,0,4.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,58,1400,2,4,2,0,9.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,66,907,3,3,3,25,12.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,67,1590,3,1,4,0,12.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,8,589,1,5,1,0,2.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,51,2773,5,5,4,0,0.0
1.0,0.0,1.0,0.0,0.0,1.0,0.0,65,764,5,4,5,0,0.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,60,125,1,1,1,66,63.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,10,1024,4,4,4,0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,44,3586,5,5,5,0,0.0
1.0,0.0,1.0,0.0,1.0,0.0,1.0,70,991,2,4,2,0,0.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,66,1616,4,4,4,23,23.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,67,282,2,2,5,0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,52,3920,2,2,4,0,0.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,17,333,4,4,4,0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,20,731,4,5,4,0,0.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,25,349,5,4,5,31,27.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,39,3917,3,3,1,0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,54,919,4,4,4,0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,43,1444,2,2,1,1,6.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,40,2680,4,4,1,0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,44,2475,4,4,5,1,41.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,69,1829,5,3,5,0,0.0
0.0,0.0,1.0,0.0,1.0,0.0,1.0,8,748,3,5,3,95,90.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,22,328,2,4,2,1,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,58,1371,4,4,4,9,31.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,52,731,4,4,4,0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,23,331,1,4,1,91,73.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,42,836,2,2,3,0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,44,2077,4,4,5,0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,51,1970,4,4,4,0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,1.0,67,163,5,5,3,0,0.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,28,621,3,4,3,0,0.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,34,603,5,5,5,0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,36,1655,2,2,1,0,0.0
0.0,0.0,1.0,1.0,0.0,0.0,0.0,54,1183,1,1,4,0,0.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,39,260,5,4,5,0,0.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,56,191,2,5,2,16,6.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,52,2285,3,4,2,0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,33,2150,5,5,1,0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,37,391,4,4,5,0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,50,1849,2,2,4,31,33.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,59,1744,4,4,3,39,4.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,37,3277,3,3,2,1,0.0
1.0,0.0,1.0,0.0,1.0,0.0,1.0,55,759,2,4,2,0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,21,534,4,3,4,0,0.0
1.0,0.0,1.0,1.0,0.0,0.0,0.0,19,1065,1,1,1,20,16.0
0.0,0.0,0.0,0.0,1.0,0.0,1.0,37,1134,4,3,4,0,0.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,9,270,4,5,4,13,6.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,52,2535,4,4,3,0,4.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,44,3201,3,3,3,39,31.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,22,190,2,3,2,0,13.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,45,2402,4,4,4,0,0.0
1.0,0.0,1.0,0.0,0.0,1.0,1.0,52,447,4,5,4,0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,28,2057,5,4,5,22,10.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,41,1749,4,4,4,14,25.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,20,2399,4,4,4,11,3.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,28,3498,4,3,4,3,0.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,53,337,5,5,3,58,64.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,45,363,5,5,3,0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,35,3203,5,5,3,0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,46,3824,5,5,3,0,0.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,24,1728,2,1,3,201,208.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,35,1337,5,5,3,0,17.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,49,888,5,5,5,5,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,47,3907,5,5,5,0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,54,630,2,2,5,4,6.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,29,2191,5,5,5,0,0.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,66,406,3,3,3,0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,1.0,36,708,3,3,3,0,0.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,58,517,5,5,3,0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,31,2300,4,3,4,0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,52,624,2,3,2,0,20.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,18,2942,4,1,4,0,0.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,29,488,2,4,2,0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,49,280,5,5,4,10,40.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,37,937,4,4,5,42,8.0
1.0,0.0,0.0,0.0,0.0,1.0,1.0,15,871,4,3,4,21,15.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,16,420,2,4,2,0,0.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,33,377,3,5,3,32,17.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,51,680,5,5,3,8,8.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,54,2295,4,4,3,0,0.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,35,1028,3,5,5,187,197.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,43,2261,3,3,2,27,23.0
0.0,0.0,0.0,0.0,0.0,1.0,1.0,56,201,4,4,2,104,95.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,51,3060,5,5,2,0,0.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,65,569,5,5,5,10,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,53,1659,5,5,4,0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,41,3238,4,4,3,0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,31,141,4,1,4,0,0.0
1.0,0.0,1.0,0.0,0.0,1.0,1.0,53,1259,3,5,3,18,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,58,3528,2,2,4,0,0.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,53,179,2,1,2,0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,28,2230,1,3,1,32,31.0
1.0,0.0,0.0,0.0,1.0,0.0,1.0,33,323,5,2,5,49,116.0
0.0,0.0,0.0,0.0,1.0,0.0,1.0,35,223,3,3,3,19,16.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,55,3987,4,4,3,0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,1.0,32,2172,3,4,3,0,0.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,32,864,5,3,5,22,20.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,49,1778,5,5,1,0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,29,697,4,3,4,15,12.0
